,Diagnosis,Symptoms,Weight
1042,Pharyngitis throat infection,"['Chills', 'Ear pressure', 'Pain in the ear', 'Fever', 'Sore throat', 'Swallowing problem (Dysphagia)', 'Throat pain', 'Cough', 'Headache', 'Shortness of breath', 'Vomiting', 'Nasal congestion']",
1043,Rhabdomyolysis severe muscle breakdown,"['Muscle pain', 'General weakness', 'Leg ache or pain']",1.5
1044,Muscle spasm charley horse,"['Arm ache or pain', 'Muscle pain', 'Muscle spasm', 'Back ache or pain', 'Leg ache or pain', 'Neck ache or pain', 'Tremors', 'Chest pain', 'Low back ache or pain']",0.79
1045,Cerebrospinal fluid rhinorrhea leakage of brain fluid from the nose,['Nasal congestion'],1.0
1046,Carpal tunnel syndrome wrist nerve compression,"['Numbness', 'Hand numbness (paresthesias)', 'Arm ache or pain', 'Pain or soreness of breast']",0.67
1047,"Gastroesophageal reflux GERD, heartburn","['Upper abdominal pain', 'Chest pressure', 'Cough', 'Swallowing problem (Dysphagia)', 'Cough', 'Chest pain', 'Stomach and abdominal pain', 'Lower abdominal pain', 'Blood in vomit', 'Sore throat', 'Vomiting', 'Throat pain']",0.94
1048,Hyperparathyroidism elevated parathyroid hormone levels,"['Skin itching', 'Low back ache or pain']",0.5
1051,Cavity tooth caries,"['Jaw pain', 'Pain in the ear', 'Headache']",
1052,Bell's palsy facial muscle weakness,"['Ear pressure', 'Pain in the ear', 'Facial pain', 'Facial droop (weakness)', 'Headache']",0.57
1053,Hepatitis liver inflammation,"['Fever in the returning traveler', 'Tired', 'Jaundice (Yellowing skin)', 'Skin itching']",1.14
1054,Facial nerve paralysis,['Facial droop (weakness)'],2.0
1055,Mitral stenosis tight heart valve,"['Shortness of breath', 'Heart pulsations and palpitations', 'Fainting', 'Chest pain']",0.0
1056,"Delirium tremens DTs, severe alcohol withdrawal",['Alcohol abuse'],2.0
1057,Intestinal volvulus twisting of intestine,"['Blood in vomit', 'Abdominal swelling (Stomach swelling)', 'Stomach and abdominal pain']",1.4
1059,"Zenker's diverticulum pharyngeal pouch, weakening of the esophageal wall",['Swallowing problem (Dysphagia)'],0.0
1060,Schizophrenia chronic impaired reality perception,"['Delusions or hallucinations', 'Learning difficulties', 'Alcohol abuse', 'Anxiety (Nervousness)', 'Change in behavior', 'Depressed', 'Insomnia (Trouble sleeping)', 'Tremors']",1.36
1063,Mallory Weiss syndrome esophageal tear,"['Blood in vomit', 'Vomiting coffee ground material', 'Stomach and abdominal pain']",0.83
1064,Colic prolonged infant crying episodes,['Inconsolable baby'],2.0
1065,Macular degeneration chronic eye disease,['Visual problems'],1.0
1066,Acoustic neuroma (ear nerve tumor),"['Ringing in ears (Tinnitus)', 'Dizziness', 'Pain in the ear']",0.0
1067,Multiple myeloma blood cancer,['Low back ache or pain'],0.0
1068,Frozen shoulder (adhesive capsulitis of shoulder),"['Shoulder ache or pain', 'Arm ache or pain', 'Neck ache or pain']",0.25
1069,Psoriasis scaly skin disease,"['Rash', 'Foot itching', 'Arm itching', 'Hand redness', 'Foot redness', 'Arm redness', 'Hand itching', 'Skin itching', 'Skin sores']",0.82
1071,Conjunctivitis pink eye,"['Eye pain (Irritation)', 'Visual problems', 'Eye redness', 'Eye swelling', 'Fever']",1.33
1072,Bleeding tendency bleeding disorder,['Nasal bleeding'],2.0
1073,"Wegener's granulomatosis granulomatosis with polyangiitis, blood vessel disease","['Nasal bleeding', 'Hemoptysis (Coughing blood)']",0.0
1074,"Polymyalgia rheumatica PMR, muscle and joint disorder","['General weakness', 'Muscle pain', 'Facial pain']",0.29
1075,Von Willebrand's disease,['Bleeding tendency'],1.0
1076,Langerhans cell histiocytosis Histiocytosis X,"['Arm ache or pain', 'Leg ache or pain', 'Shortness of breath', 'Rash', 'Cough']",0.0
1077,Fibrocystic breasts breast lumpiness,"['Pain or soreness of breast', 'Nipple discharge']",1.33
1078,Costochondritis chest wall inflammation,"['Chest pressure', 'Upper abdominal pain', 'Back ache or pain', 'Pain or soreness of breast']",0.83
1079,Major depressive disorder severe depression,"['Depressed', 'Alcohol abuse', 'Anxiety (Nervousness)', 'Change in behavior', 'Dizziness', 'Delusions or hallucinations', 'Headache', 'Insomnia (Trouble sleeping)']",1.1
1080,Neurogenic bladder bladder paralysis,['Incontinence (leaking urine)'],0.5
1081,Ovarian cancer female organ cancer,"['Abdominal swelling (Stomach swelling)', 'Increased facial hair']",0.33
1082,Stress,"['Anxiety (Nervousness)', 'Tired', 'Impotence', 'Amenorrhea (No menstruation)', 'Infertility (Female)', 'Chest pressure', 'Change in behavior', 'Depressed', 'Dizziness', 'Headache', 'Insomnia (Trouble sleeping)', 'Obesity', 'Shortness of breath', 'Substance abuse (Drug abuse)', 'Chest pain']",
1083,Interstitial cystitis bladder inflammation,['Frequent urination (Frequency)'],0.4
1084,Onchocerciasis river blindness,['Fever in the returning traveler'],1.0
1086,Subdural hematoma bleeding on brain,"['Change in behavior', 'Seizure', 'Unsteady gait (Trouble walking)', 'Inconsolable baby', 'Headache', 'Loss of balance', 'Speech problem', 'Confusion', 'Headache and weakness', 'Confusion and headache']",2.0
1088,Night blindness nyctalopia,['Visual problems'],0.0
1089,Cervicitis inflammation of the lower uterus,"['Vaginal bleeding', 'Lower abdominal pain', 'Stomach and abdominal pain']",0.5
1090,Endometritis inflammation of the uterus,['Lower abdominal pain'],0.5
1092,"Polycystic ovarian syndrome PCOS, female hormonal disorder","['Obesity', 'Vaginal bleeding', 'Amenorrhea (No menstruation)', 'Infertility (Female)', 'Increased facial hair']",1.25
1093,Empyema collection of pus in chest,['Chest pain'],1.5
1094,Necrotizing fasciitis life-threatening infection,"['Muscle pain', 'Swelling of both legs', 'Skin swelling', 'Leg ache or pain', 'Shoulder ache or pain', 'Arm swelling', 'Hand redness', 'Foot redness', 'Arm redness']",1.0
1095,Colon cancer large intestine tumor,['Abdominal swelling (Stomach swelling)'],1.6
1097,Inguinal hernia groin hernia,"['Lower abdominal pain', 'Abdominal swelling (Stomach swelling)', 'Upper abdominal pain', 'Stomach and abdominal pain']",1.5
1098,Spondylolisthesis slipped back bone,"['Back ache or pain', 'Leg numbness (paresthesias)', 'Arm numbness (paresthesias)', 'Hand numbness (paresthesias)', 'Foot numbness (paresthesias)', 'Low back ache or pain']",0.29
1099,Humerus fracture broken upper arm,"['Shoulder ache or pain', 'Arm ache or pain']",0.33
1100,Ventral hernia bulging of the abdominal wall,"['Lower abdominal pain', 'Upper abdominal pain', 'Stomach and abdominal pain']",1.33
1102,Endocarditis heart valve infection,"['Shortness of breath', 'Fever', 'Weight loss, unexplained', 'Rash', 'Chest pain']",1.57
1103,Q fever flu-like bacterial illness,"['Fever', 'Weight loss, unexplained', 'Shortness of breath', 'Jaundice (Yellowing skin)']",1.0
1104,Valvular heart disease abnormal heart valves,"['Fainting', 'Shortness of breath', 'Chest pain']",0.33
1105,"Loffler's syndrome pulmonary eosinophilia, lung inflammation","['Cough', 'Fever', 'Shortness of breath']",0.0
1106,Bronchiectasis bronchial tube inflammatory damage,"['Cough', 'Shortness of breath', 'Hemoptysis (Coughing blood)']",1.14
1107,Wilsons disease copper accumulation in tissues,"['Loss of balance', 'Jaundice (Yellowing skin)']",0.75
1108,Anorexia (eating disorder),"['Lethargy (Sluggishness)', 'Tired', 'Failure to thrive', 'Amenorrhea (No menstruation)', 'Infertility (Female)']",1.25
1109,Umbilical hernia belly button hernia,"['Abdominal swelling (Stomach swelling)', 'Stomach and abdominal pain', 'Upper abdominal pain', 'Lower abdominal pain']",0.25
1110,Diffuse esophageal spasm painful contractions of the esophagus,['Swallowing problem (Dysphagia)'],1.0
1111,Esophageal rupture tear in esophagus,['Chest pain'],1.0
1112,Esophageal spasm painful muscle contraction,['Chest pain'],0.5
1114,Cholecystitis inflammation of the gallbladder,"['Upper abdominal pain', 'Fever', 'Flank pain', 'Jaundice (Yellowing skin)', 'Lower abdominal pain', 'Back ache or pain', 'Kidney pain (Flank pain)', 'Vomiting', 'Chest pain', 'Stomach and abdominal pain']",1.45
1115,Influenza seasonal flu,"['Chills', 'Fever', 'Muscle pain', 'Tired', 'Sore throat', 'Cough', 'Nasal congestion', 'Headache', 'Shortness of breath', 'Vomiting', 'Throat pain', 'Chest pain']",1.05
1117,Cholangitis inflammation of the bile ducts,"['Jaundice (Yellowing skin)', 'Vomiting']",1.0
1118,Sclerosing cholangitis progressive bile duct disease,['Jaundice (Yellowing skin)'],1.0
1119,Increased pressure in the skull raised intracranial pressure,"['Visual problems', 'Confusion and headache']",1.0
1120,Shock severe low blood pressure,['Confusion'],1.0
1121,Pseudotumor cerebri increased pressure in the skull,"['Headache', 'Double vision (Diplopia)', 'Visual problems', 'Dizziness', 'Confusion', 'Confusion and headache']",1.44
1123,Bladder cancer,"['Frequent urination (Frequency)', 'Blood in urine (Hematuria)', 'Urinary retention (Inability to urinate)']",0.33
1124,"Bladder stone, urinary","['Frequent urination (Frequency)', 'Blood in urine (Hematuria)', 'Low back ache or pain']",0.17
1127,Schistosomiasis parasite infection,"['Fever in the returning traveler', 'Swollen lymph nodes (Large lymph nodes)', 'Itchy rash (Pruritic rash)']",0.0
1128,Detached retina retinal detachment,"['Visual problems', 'Visual flashing lights', 'Eye floaters']",2.33
1129,Diabetic retinopathy diabetic eye disease,['Visual problems'],0.0
1130,Yaws,"['Rash', 'Skin sores', 'Swollen lymph nodes (Large lymph nodes)']",0.0
1133,Sciatica lower back nerve irritation,"['Back ache or pain', 'Leg ache or pain', 'Foot numbness (paresthesias)', 'Leg numbness (paresthesias)', 'Low back ache or pain']",0.78
1134,Atrioventricular node conduction block heart block,"['Fainting', 'Low heart rate']",2.0
1135,Shingles herpes zoster,"['Chest pressure', 'Facial pain', 'Skin itching', 'Painful rash', 'Jaw pain', 'Arm itching', 'Foot itching', 'Hand redness', 'Foot redness', 'Arm redness', 'Hand itching', 'Armpit pain', 'Skin sores', 'Face numbness (paresthesias)', 'Upper abdominal pain', 'Back ache or pain', 'Pain or soreness of breast', 'Flank pain', 'Kidney pain (Flank pain)', 'Neck ache or pain', 'Rash', 'Chest pain']",0.47
1136,"Bladder infection cystitis, UTI, urinary tract infection","['Lower abdominal pain', 'Back ache or pain', 'Chills', 'Fever', 'Flank pain', 'Frequent urination (Frequency)', 'Incontinence (leaking urine)', 'Inconsolable baby', 'Blood in urine (Hematuria)', 'Low back ache or pain', 'Upper abdominal pain', 'Pain or soreness of breast', 'Kidney pain (Flank pain)', 'Vomiting', 'Stomach and abdominal pain']",1.26
1137,Hearing loss,"['Ringing in ears (Tinnitus)', 'Pain in the ear']",0.33
1138,Sinusitis sinus infection,"['Chills', 'Eye pain (Irritation)', 'Facial pain', 'Fever', 'Sinus pain and pressure', 'Headache', 'Cough', 'Jaw pain', 'Nasal bleeding', 'Nasal congestion', 'Snoring', 'Dizziness', 'Ear pressure', 'Pain in the ear', 'Shortness of breath', 'Sore throat', 'Throat pain']",1.29
1139,Waldenström macroglobulinemia blood cell disease,['Bleeding tendency'],0.0
1140,Alcohol ethanol abuse,"['Lethargy (Sluggishness)', 'Vertigo (Room spinning)', 'Weight loss, unexplained', 'Snoring', 'Confusion']",2.11
1141,Cataracts clouding of the eye lens,['Visual problems'],1.0
1142,Nose bleed epistaxis,"['Blood in vomit', 'Nasal bleeding']",2.0
1144,"Oral candidiasis thrush, oral yeast","['Mouth pain', 'Painful gums', 'Swollen gums', 'Sore throat', 'Throat pain']",0.33
1145,Tinea fungal skin infection,"['Skin itching', 'Arm itching', 'Hand redness', 'Foot redness', 'Hand itching', 'Arm redness', 'Rash', 'Skin sores']",
1146,Rabies deadly viral illness transmitted by animals,['Confusion and headache'],1.0
1148,Pyomyositis muscle infection,['Leg ache or pain'],1.5
1150,Scarlet fever post strep inflammation,"['Chills', 'Sore throat', 'Throat pain']",1.8
1151,"Vestibular neuronitis labyrinthitis, vertigo","['Vertigo (Room spinning)', 'Dizziness', 'Pain in the ear']",0.67
1152,"Viral hemorrhagic fevers Ebola, Lassa",['Fever in the returning traveler'],1.0
1153,Yellow fever viral hemorrhagic fever,"['Fever in the returning traveler', 'Vomiting coffee ground material']",1.67
1154,"Fifth disease erythema infectiosum, viral illness",['Rash'],1.0
1155,Erysipelas bacterial skin infection,"['Facial pain', 'Rash', 'Painful rash']",1.4
1156,Rubella German measles,['Eye redness'],0.5
1157,Tetanus lockjaw,"['Swallowing problem (Dysphagia)', 'Jaw pain', 'Muscle spasm']",1.0
1159,Carotid artery dissection neck artery tear,"['Neck ache or pain', 'Unsteady gait (Trouble walking)', 'Headache and weakness']",1.0
1161,Cholera intestinal bacterial infection,['Fever in the returning traveler'],1.0
1162,Labyrinthitis dizziness and vertigo,"['Vomiting', 'Loss of balance', 'Dizziness', 'Ear pressure', 'Pain in the ear']",
1163,Vibrio parahaemolyticus infection bacterial infection from shellfish,['Fever in the returning traveler'],1.0
1164,Motion sickness,['Vertigo (Room spinning)'],2.0
1165,"Decompression sickness bends, caisson's disease","['Headache', 'Numbness', 'Dizziness', 'Confusion']",1.0
1166,Esophageal stricture narrowing of the esophagus,"['Swallowing problem (Dysphagia)', 'Upper abdominal pain']",0.33
1167,Basilar artery migraine headache,"['Unsteady gait (Trouble walking)', 'Vertigo (Room spinning)', 'Loss of balance', 'Double vision (Diplopia)']",0.75
1169,"Irritable bowel syndrome IBS, chronic intestinal pain and cramping","['Upper abdominal pain', 'Abdominal swelling (Stomach swelling)', 'Lower abdominal pain', 'Stomach and abdominal pain']",1.0
1170,Ascites fluid in the abdomen,"['Abdominal swelling (Stomach swelling)', 'Shortness of breath']",1.25
1173,Urethral stricture,"['Blood in urine (Hematuria)', 'Abdominal swelling (Stomach swelling)', 'Stomach and abdominal pain']",0.0
1175,Chronic venous insufficiency weakened leg veins,"['Swelling of both legs', 'Leg ache or pain', 'Obesity', 'Rash', 'Skin sores']",0.57
1176,Gastric ulcer stomach ulcer,"['Upper abdominal pain', 'Vomiting coffee ground material', 'Stomach and abdominal pain', 'Alcohol abuse']",1.71
1177,Cervical spondylosis neck arthritis,"['Headache', 'Neck ache or pain', 'Hand numbness (paresthesias)', 'Arm numbness (paresthesias)', 'Arm ache or pain']",0.5
1178,Dementia decline in mental ability,"['Change in behavior', 'Confusion']",0.8
1179,Neutropenia,"['Fever', 'Mouth pain', 'Cough', 'Pain in the ear']",0.0
1180,"Upper respiratory tract infection URI, common cold","['Chills', 'Fever', 'Headache', 'Sore throat', 'Throat pain', 'Nasal congestion', 'Snoring', 'Chest pain', 'Chest pressure', 'Cough', 'Dizziness', 'Pain in the ear', 'Shortness of breath', 'Stomach and abdominal pain']",1.32
1182,Pulmonary hypertension high blood pressure in the lungs,['Chest pain'],0.0
1183,Hypoglycemia low blood sugar,"['Anxiety (Nervousness)', 'Change in behavior', 'Seizure', 'General weakness', 'Tremors', 'Fainting', 'Speech problem', 'Loss of balance', 'Dizziness', 'Confusion']",2.64
1185,"Dysthymia depression, dysthymic disorder","['Anxiety (Nervousness)', 'Chest pressure', 'Change in behavior', 'Depressed', 'Insomnia (Trouble sleeping)']",0.17
1186,Smoking tobacco use disorder,"['Infertility (Female)', 'Cough']",1.0
1187,Kidney stone nephrolithiasis,"['Upper abdominal pain', 'Flank pain', 'Frequent urination (Frequency)', 'Kidney pain (Flank pain)', 'Lower abdominal pain', 'Blood in urine (Hematuria)', 'Back ache or pain', 'Low back ache or pain', 'Incontinence (leaking urine)', 'Vomiting', 'Stomach and abdominal pain']",0.8
1188,Depression excessive sadness,"['Anxiety (Nervousness)', 'Depressed', 'Insomnia (Trouble sleeping)', 'Lethargy (Sluggishness)', 'Tired', 'Weight loss, unexplained', 'Failure to thrive', 'Learning difficulties', 'Ringing in ears (Tinnitus)', 'Impotence', 'Amenorrhea (No menstruation)', 'Alcohol abuse', 'Change in behavior', 'Delusions or hallucinations', 'Headache', 'Obesity', 'Substance abuse (Drug abuse)']",1.86
1190,Endometriosis uterine tissue outside the uterus,"['Infertility (Female)', 'Lower abdominal pain', 'Low back ache or pain', 'Stomach and abdominal pain', 'Upper abdominal pain', 'Vomiting']",0.43
1191,Peritonitis abdominal cavity inflammation,['Chills'],1.0
1192,Abdominal adhesions scar tissue,"['Vomiting', 'Stomach and abdominal pain']",0.5
1194,Fetal alcohol syndrome,['Learning difficulties'],1.0
1195,Cardiac arrest heart stops,['Fainting'],1.0
1196,Pyelonephritis kidney infection,"['Back ache or pain', 'Flank pain', 'Frequent urination (Frequency)', 'Kidney pain (Flank pain)', 'Blood in urine (Hematuria)', 'Low back ache or pain', 'Upper abdominal pain', 'Lower abdominal pain', 'Chills', 'Fever', 'Incontinence (leaking urine)', 'Vomiting', 'Stomach and abdominal pain']",1.87
1197,Hydronephrosis,"['Flank pain', 'Stomach and abdominal pain', 'Vomiting', 'Frequent urination (Frequency)', 'Fever']",0.0
1199,Premenstrual syndrome PMS,"['Lower abdominal pain', 'Back ache or pain', 'Change in behavior', 'Dizziness', 'Headache', 'Obesity']",
1202,Stress incontinence unintentional urination with cough or sneeze,['Incontinence (leaking urine)'],1.0
1204,Low platelets thrombocytopenia,"['Bleeding tendency', 'Bleeding gums']",2.5
1205,Thrombocytopenia low platelet count,"['Nasal bleeding', 'Vomiting coffee ground material', 'Blood in vomit']",1.0
1207,Foot sprain,['Bleeding tendency'],1.33
1208,Gout uric acid crystals in the joint causing inflammation,"['Arm ache or pain', 'Leg ache or pain', 'Swelling of both legs']",0.42
1209,Post nasal drip,"['Cough', 'Nasal congestion']",0.67
1210,Febrile seizure convulsion in child with a fever,['Seizure'],1.5
1211,"Plague bubonic plague, bacteria yersinia infection",['Fever in the returning traveler'],1.0
1212,Bone metastases cancer spread to bone,"['Back ache or pain', 'Low back ache or pain']",1.0
1214,Narcolepsy uncontrollable sleeping,"['Insomnia (Trouble sleeping)', 'Lethargy (Sluggishness)']",0.67
1215,Acidosis (excessive acid in the body),['Vomiting'],1.0
1217,Vertigo spinning sensation,"['Dizziness', 'Vomiting']",0.0
1218,Postural hypotension low blood pressure after standing,"['Fainting', 'Dizziness']",0.5
1219,"Pancreas inflammation pancreatitis, chronic","['Steatorrhea (Excess fat in stool)', 'Upper abdominal pain', 'Lower abdominal pain', 'Back ache or pain']",1.17
1220,Gangrene death of body tissue,['Numbness'],1.0
1221,Constipation,"['Upper abdominal pain', 'Urinary retention (Inability to urinate)', 'Abdominal swelling (Stomach swelling)', 'Lower abdominal pain', 'Stomach and abdominal pain', 'Incontinence (leaking urine)', 'Low back ache or pain']",0.91
1223,Rheumatoid arthritis type of chronic joint inflammation,"['Arm ache or pain', 'Leg ache or pain', 'Swelling of both legs', 'Back ache or pain']",0.33
1224,Bowel obstruction intestinal blockage,"['Upper abdominal pain', 'Abdominal swelling (Stomach swelling)']",1.0
1225,Arrhythmia abnormal heart rhythm,"['Dizziness', 'Fainting', 'Low heart rate', 'Chest pain', 'Anxiety (Nervousness)', 'Chest pressure', 'Shortness of breath']",1.88
1226,Cardiac arrhythmia abnormal heart rate,"['Heart pulsations and palpitations', 'Vertigo (Room spinning)']",3.0
1228,Abdominal aortic aneurysm (enlarged major blood vessel),"['Back ache or pain', 'Flank pain', 'Abdominal swelling (Stomach swelling)', 'Kidney pain (Flank pain)', 'Low back ache or pain']",1.0
1229,Glaucoma elevated eye pressure,"['Eye pain (Irritation)', 'Headache', 'Visual problems', 'Eye redness', 'Blurry vision']",1.4
1230,Sepsis serious blood infection,"['Inconsolable baby', 'Dizziness', 'Fainting', 'Fever', 'Shortness of breath', 'Confusion']",1.54
1231,Chronic liver disease,['Lethargy (Sluggishness)'],0.33
1232,Asthma,"['Shortness of breath', 'Chest pain', 'Back ache or pain', 'Chest pressure', 'Cough']",1.4
1235,Aspiration pneumonia lung inflammation or infection,['Shortness of breath'],1.0
1236,"Renal failure, acute sudden kidney failure","['Bleeding tendency', 'Lethargy (Sluggishness)', 'Tired', 'Swelling of both legs', 'Muscle spasm', 'Abdominal swelling (Stomach swelling)', 'Dizziness', 'Skin itching', 'Confusion']",1.15
1237,Folliculitis hair follicle infection,"['Pustule (Collection of pus)', 'Itchy rash (Pruritic rash)', 'Skin swelling', 'Ear swelling', 'Hand redness', 'Foot redness', 'Arm redness']",2.0
1238,Anxiety,['Heart pulsations and palpitations'],1.25
1239,Anxiety disorder generalized anxiety disorder GAD,"['Learning difficulties', 'Chest pain', 'Stomach and abdominal pain', 'Anxiety (Nervousness)', 'Chest pressure', 'Change in behavior', 'Depressed', 'Dizziness', 'Fainting', 'Delusions or hallucinations', 'Headache', 'Insomnia (Trouble sleeping)', 'Obesity', 'Shortness of breath', 'Substance abuse (Drug abuse)', 'Vomiting', 'Tremors']",0.35
1241,Hyperthermia extreme heat exposure,['Confusion'],2.0
1242,Febrile fever illness,"['Muscle pain', 'Tremors', 'Hot flashes']",2.0
1243,Fever elevated temperature,"['Tired', 'Inconsolable baby']",1.67
1244,Cardiomegaly enlarged heart,"['Tired', 'Shortness of breath', 'Heart pulsations and palpitations']",1.0
1245,Parkinson's disease movement disorder,"['Unsteady gait (Trouble walking)', 'Speech problem', 'Tremors', 'Choking']",0.75
1246,Renal vein thrombosis kidney vein clot,"['Kidney pain (Flank pain)', 'Blood in urine (Hematuria)', 'Flank pain']",1.0
1247,Atrial flutter irregular heart rate,"['Heart pulsations and palpitations', 'Fainting', 'Dizziness', 'Chest pain']",1.25
1248,Ulcerative colitis large intestine inflammation,"['Flank pain', 'Weight loss, unexplained', 'Lower abdominal pain', 'Steatorrhea (Excess fat in stool)', 'Kidney pain (Flank pain)', 'Vomiting', 'Stomach and abdominal pain']",0.67
1249,Alzheimer's disease dementia,"['Change in behavior', 'Confusion']",1.0
1250,Hypotension low blood pressure,"['Dizziness', 'Fainting', 'Confusion']",2.67
1251,Low blood pressure hypotension,['Vertigo (Room spinning)'],2.5
1252,Hyperemesis gravidarum severe vomiting in pregnancy,"['Stomach and abdominal pain', 'Vomiting']",
1253,Iron deficiency anemia low red blood cell count,['Dizziness'],1.0
1254,Intussusception telescoping intestine,"['Blood in vomit', 'Inconsolable baby', 'Stomach and abdominal pain']",2.14
1255,Paralytic Ileus intestinal paralysis,['Abdominal swelling (Stomach swelling)'],
1256,"Cystic fibrosis inherited disease of lungs, digestive system",['Steatorrhea (Excess fat in stool)'],0.5
1257,Osteoporosis extremely thin bone,"['Back ache or pain', 'Low back ache or pain']",0.5
1258,Hyperkalemia elevated potassium level,['General weakness'],2.0
1259,"Chronic obstructive pulmonary disease COPD, emphysema","['Cough', 'Shortness of breath', 'Chest pain', 'Dizziness']",0.86
1260,Cardiomyopathy weakened heart,"['Tired', 'Dizziness', 'Shortness of breath', 'Chest pain']",1.0
1263,Pickwickian syndrome severe obesity,['Snoring'],0.0
1264,Peripheral vascular disease blocked blood vessels,"['Skin sores', 'Arm numbness (paresthesias)', 'Hand numbness (paresthesias)', 'Leg numbness (paresthesias)', 'Foot numbness (paresthesias)', 'Arm ache or pain', 'Leg ache or pain']",0.55
1265,"Gastrointestinal bleeding stomach, intestine bleeding","['Fainting', 'Vomiting coffee ground material', 'Stomach and abdominal pain', 'Blood in vomit', 'Vomiting', 'Chest pain']",1.75
1266,Aortic regurgitation leaking heart valve,"['Shortness of breath', 'Fainting', 'Chest pain']",0.0
1267,Kaposi Sarcoma type of cancer,['Blood in vomit'],0.0
1268,Prostate cancer male anatomy cancer,"['Frequent urination (Frequency)', 'Blood in urine (Hematuria)', 'Urinary retention (Inability to urinate)']",0.67
1269,Swimmer's itch cercarial dermatitis,"['Skin itching', 'Itchy rash (Pruritic rash)', 'Arm itching', 'Foot itching', 'Hand redness', 'Foot redness', 'Foot redness', 'Arm redness', 'Hand itching']",0.36
1270,Reyes syndrome rare liver and brain swelling,"['Confusion', 'Confusion and headache']",1.8
1272,Phenylketonuria PKU,"['Seizure', 'Learning difficulties']",0.0
1273,Bronchitis bronchial tube infection,"['Cough', 'Hemoptysis (Coughing blood)', 'Shortness of breath', 'Chest pain', 'Upper abdominal pain', 'Back ache or pain', 'Chest pressure', 'Fever', 'Sore throat', 'Throat pain', 'Stomach and abdominal pain']",
1274,"Transient ischemic attack TIA, reversible stroke","['Dizziness', 'Fainting', 'Speech problem', 'Unsteady gait (Trouble walking)', 'Visual problems', 'Visual flashing lights', 'Loss of balance', 'Facial droop (weakness)']",1.8
1275,Barrett's esophagus esophagus inflammation,['Swallowing problem (Dysphagia)'],1.0
1276,Esophagitis esophageal inflammation,"['Chest pressure', 'Swallowing problem (Dysphagia)', 'Vomiting coffee ground material', 'Chest pain', 'Upper abdominal pain', 'Blood in vomit', 'Cough', 'Neck ache or pain', 'Sore throat', 'Vomiting', 'Throat pain']",
1277,Pneumothorax collapse of lung,"['Chest pressure', 'Shortness of breath', 'Chest pain']",1.67
1280,Urine retention inability to urinate,"['Lower abdominal pain', 'Abdominal swelling (Stomach swelling)', 'Low back ache or pain']",0.75
1281,Mitral valve prolapse abnormal heart valve,"['Chest pressure', 'Chest pain', 'Shortness of breath']",0.25
1282,Hernia,"['Upper abdominal pain', 'Lower abdominal pain']",0.33
1283,Hiatal hernia stomach pushes through diaphragm,"['Upper abdominal pain', 'Chest pressure', 'Stomach and abdominal pain', 'Blood in vomit', 'Chest pain']",1.0
1284,Seizure abnormal brain electrical activity,"['Change in behavior', 'Fainting', 'Visual flashing lights', 'Dizziness', 'Headache', 'Tremors', 'Confusion', 'Seizure']",2.1
1285,Pleural effusion abnormal chest fluid,"['Shortness of breath', 'Chest pain']",1.2
1286,"E. coli infection Escherichia coli, bacterial infection",['Fever in the returning traveler'],3.0
1287,Vasovagal syncope fainting,"['Fainting', 'Chest pressure', 'Dizziness']",0.67
1290,Hypothyroidism low thyroid hormone,"['Change in behavior', 'Hypothermia (Low temperature)', 'Obesity', 'Tired', 'Depressed', 'Failure to thrive', 'Swelling of both legs', 'Impotence', 'Amenorrhea (No menstruation)', 'Low heart rate', 'Confusion']",0.85
1291,Bradycardia slow heart rate,"['Dizziness', 'Fainting', 'Shortness of breath', 'Chest pain']",1.5
1292,Anemia (low red blood cell count),"['Change in behavior', 'Lethargy (Sluggishness)', 'Tired', 'Failure to thrive', 'Dizziness', 'Fainting', 'Shortness of breath', 'Confusion']",1.0
1293,Prinzmetal angina heart artery spasm,"['Chest pressure', 'Chest pain']",0.0
1294,Pancytopenia,"['Tired', 'Shortness of breath', 'Fainting', 'Dizziness']",1.0
1295,Hyponatremia low blood sodium,"['Change in behavior', 'Seizure', 'Tired', 'Confusion']",2.25
1296,Addison's disease adrenal insufficiency,"['Fainting', 'Muscle pain', 'Low back ache or pain']",0.67
1297,Dressler syndrome heart sac inflammation following heart attack or heart surgery,"['Chest pressure', 'Fever', 'Chest pain']",1.2
1298,Unstable angina pre heart attack chest pain,"['Chest pressure', 'Upper abdominal pain', 'Arm ache or pain', 'Back ache or pain', 'Shortness of breath']",1.29
1299,Pneumonia lung infection,"['Chest pressure', 'Chills', 'Cough', 'Fever', 'Shortness of breath', 'Hemoptysis (Coughing blood)', 'Chest pain', 'Upper abdominal pain', 'Back ache or pain', 'Pain or soreness of breast', 'Dizziness', 'Flank pain', 'Kidney pain (Flank pain)', 'Low back ache or pain']",2.35
1300,Dengue fever tropical mosquito borne illness,"['Bleeding tendency', 'Fever in the returning traveler', 'Swollen lymph nodes (Large lymph nodes)']",1.4
1301,Myelodysplastic syndrome bone marrow failure,"['Bleeding tendency', 'Bleeding gums']",1.5
1302,Smallpox Variola virus infection,"['Fever in the returning traveler', 'Pustule (Collection of pus)']",1.0
1303,Chikungunya viral illness from mosquitoes,['Fever in the returning traveler'],2.0
1304,Dehydration,"['Change in behavior', 'Dizziness', 'Lethargy (Sluggishness)', 'Fainting', 'Failure to thrive', 'Confusion']",2.79
1305,Hypokalemia low blood potassium,"['Tired', 'Muscle spasm']",1.67
